2022-03-27 02:52:32,iSpindel000,2022-03-27 02:53:33,iSpindel000,2022-03-27 02:55:36,iSpindel000,11417679,1.0255,21.875,C,35.82299,4.087591,2022-03-27 02:56:38,iSpindel000,11417679,1.025533,21.875,C,35.84212,4.087591,-58,60
2022-03-27 02:57:39,iSpindel000,11417679,1.025553,21.875,C,35.85357,4.087591,-57,60
2022-03-27 02:58:40,iSpindel000,11417679,1.025554,21.9375,C,35.85425,4.087591,-58,60
2022-03-27 02:59:42,iSpindel000,11417679,1.025548,21.9375,C,35.85033,4.087591,-59,60
2022-03-27 03:01:45, iSpindel000, 11417679, 1.025554, 21.9375, C, 35.8542, 4.087591, -57, 60
2022-03-27 03:02:46,iSpindel000,11417679,1.025569,22,C,35.86291,4.087591,-58,60
2022-03-27 03:02:49,iSpindel000,11417679,1.025713,22.0625,C,35.94652,4.087591,-59,300
2022-03-27 03:07:40,iSpindel000,11417679,1.02555,21.8125,C,35.85174,4.087591,-57,300,
2022-03-27 03:07:43,iSpindel000,11417679,1.025621,21.875,C,35.89285,4.087591,-58,30,
2022-03-27 03:08:16,iSpindel000,11417679,1.025557,22,C,35.85557,4.087591,-58,30,
2022-03-27 03:08:48,iSpindel000,11417679,1.025532,22.125,C,35.84151,4.087591,-57,30,
2022-03-27 03:09:21,iSpindel000,11417679,1.025561,22.1875,C,35.85813,4.087591,-58,30,
2022-03-27 03:09:23,iSpindel000,11417679,1.025636,22.1875,C,35.90184,4.087591,-58,300,
2022-03-27 03:14:14,iSpindel000,11417679,1.005332,19.75,C,26.7271,4.087591,-54,300,
2022-03-27 03:19:04,iSpindel000,11417679,1.004799,18.1875,C,26.53782,4.087591,-51,300,
2022-03-27 03:23:56,iSpindel000,11417679,1.004906,17.5625,C,26.57539,4.087591,-52,300,
2022-03-27 03:28:49,iSpindel000,11417679,0.995251,18.125,C,23.43084,4.087591,-53,300,
2022-03-27 03:33:42,iSpindel000,11417679,0.995337,18.5,C,23.45673,4.087591,-52,300,
2022-03-27 03:38:35,iSpindel000,11417679,0.995581,18.625,C,23.5302,4.087591,-54,300,
2022-03-27 03:43:28,iSpindel000,11417679,0.995951,18.625,C,23.64212,4.087591,-52,300,
2022-03-27 03:48:20,iSpindel000,11417679,0.996085,18.6875,C,23.68298,4.087591,-52,300,
2022-03-27 03:53:13,iSpindel000,11417679,0.996118,18.6875,C,23.69287,4.087591,-53,300,
